Row_Col_Event,EventTime,ConfidenceIndex,QualityLevel
r2_c6_ev7,0.878,0.99964,High
r2_c7_ev1,0.054003,0.99999,High
r2_c7_ev2,0.079,0.79725,Indeterminant
r2_c7_ev3,0.087364,0.93624,High
r2_c7_ev4,0.15099,0.99976,High
r2_c7_ev5,0.256,0.99967,High
r2_c7_ev6,0.363,0.99962,High
r2_c7_ev7,0.462,0.99966,High
r2_c7_ev8,0.568,0.9997,High
r2_c7_ev9,0.673,0.99966,High
r2_c7_ev10,0.769,0.99954,High
r2_c7_ev11,0.878,0.99963,High
r2_c7_ev12,0.98121,0.99356,High
r2_c8_ev1,0.05201,0.9996,High
r2_c8_ev2,0.154,0.99963,High
r2_c8_ev3,0.362,0.99977,High
r2_c8_ev4,0.723,0.7891,Indeterminant
r2_c8_ev5,0.771,0.99974,High
r2_c8_ev6,0.84838,0.93193,High
r2_c9_ev1,0.051928,0.99246,High
r2_c9_ev2,0.153,0.99949,High
r2_c9_ev3,0.256,0.99962,High
r2_c9_ev4,0.31738,0.93193,High
r2_c9_ev5,0.35804,0.99984,High
r2_c9_ev6,0.464,0.99957,High
r2_c9_ev7,0.563,0.99967,High
r2_c9_ev8,0.708,0.78895,Indeterminant
r2_c9_ev9,0.77199,0.9998,High
r2_c9_ev10,0.873,0.99968,High
r3_c1_ev1,0.054904,0.99935,High
r3_c1_ev2,0.152,0.99957,High
r3_c1_ev3,0.26101,0.99953,High
r3_c1_ev4,0.30638,0.93212,High
r3_c1_ev5,0.362,0.99957,High
r3_c1_ev6,0.46,0.99968,High
r3_c1_ev7,0.567,0.99966,High
r3_c1_ev8,0.67,0.99971,High
r3_c1_ev9,0.771,0.99957,High
r3_c1_ev10,0.842,0.78915,Indeterminant
r3_c1_ev11,0.87801,0.99979,High
r3_c1_ev12,0.97808,0.99932,High
r3_c2_ev1,0.053961,0.9997,High
r3_c2_ev2,0.157,0.99962,High
r3_c2_ev3,0.258,0.99978,High
r3_c2_ev4,0.319,0.78979,Indeterminant
r3_c2_ev5,0.36299,0.99639,High
r3_c2_ev6,0.39438,0.93179,High
r3_c2_ev7,0.566,0.99967,High
r3_c2_ev8,0.672,0.99971,High
r3_c2_ev9,0.774,0.99968,High
r3_c2_ev10,0.877,0.99965,High
r3_c2_ev11,0.97602,0.99713,High
r3_c3_ev1,0.050064,0.99601,High
r3_c3_ev2,0.151,0.99971,High
r3_c3_ev3,0.256,0.99976,High
r3_c3_ev4,0.31338,0.93195,High
r3_c3_ev5,0.358,0.99992,High
r3_c3_ev6,0.46002,0.99767,High
r3_c3_ev7,0.49,0.78929,Indeterminant
r3_c3_ev8,0.56303,0.99958,High
r3_c3_ev9,0.673,0.99967,High
r3_c3_ev10,0.773,0.99954,High
r3_c3_ev11,0.873,0.99967,High
r3_c3_ev12,0.97906,0.99932,High
r3_c4_ev1,0.055002,0.99997,High
r3_c4_ev2,0.153,0.99969,High
r3_c4_ev3,0.218,0.78942,Indeterminant
r3_c4_ev4,0.25799,0.99971,High
r3_c4_ev5,0.30638,0.93179,High
r3_c4_ev6,0.358,0.99952,High
r3_c4_ev7,0.465,0.99974,High
r3_c4_ev8,0.567,0.99976,High
r3_c4_ev9,0.669,0.99971,High
r3_c4_ev10,0.771,0.99965,High
r3_c4_ev11,0.876,0.99967,High
r3_c4_ev12,0.97606,0.99149,High
r3_c5_ev1,0.118,0.7907,Indeterminant
r3_c5_ev2,0.19838,0.93195,High
r3_c5_ev3,0.363,0.99965,High
r3_c5_ev4,0.465,0.99962,High
r3_c5_ev5,0.98009,0.99979,High
r3_c6_ev1,0.151,0.9997,High
r3_c6_ev2,0.30443,0.9303,High
r3_c6_ev3,0.323,0.78862,Indeterminant
r3_c6_ev4,0.465,0.99972,High
r3_c6_ev5,0.565,0.99963,High
r3_c6_ev6,0.673,0.99957,High
r3_c6_ev7,0.87299,0.99973,High
r3_c7_ev1,0.054147,0.99696,High
r3_c7_ev2,0.15701,0.99905,High
r3_c7_ev3,0.21,0.78936,Indeterminant
r3_c7_ev4,0.25806,0.99735,High
r3_c7_ev5,0.33038,0.93178,High
r3_c7_ev6,0.36196,0.99983,High
r3_c7_ev7,0.462,0.99966,High
r3_c7_ev8,0.565,0.99967,High
r3_c7_ev9,0.671,0.99953,High
r3_c7_ev10,0.774,0.99966,High
r3_c7_ev11,0.875,0.9997,High
r3_c7_ev12,0.98006,0.99979,High
r3_c8_ev1,0.0541,0.99956,High
r3_c8_ev2,0.151,0.99972,High
r3_c8_ev3,0.259,0.99967,High
r3_c8_ev4,0.35901,0.99971,High
r3_c8_ev5,0.43338,0.93219,High
r3_c8_ev6,0.516,0.78922,Indeterminant
r3_c8_ev7,0.77,0.99963,High
r3_c9_ev1,0.055192,0.96432,High
r3_c9_ev2,0.153,0.99973,High
r3_c9_ev3,0.258,0.99969,High
r3_c9_ev4,0.363,0.99966,High
r3_c9_ev5,0.463,1,High
r3_c9_ev6,0.48839,0.93185,High
r3_c9_ev7,0.56799,0.9996,High
r3_c9_ev8,0.696,0.78955,Indeterminant
r3_c9_ev9,0.76999,0.99957,High
r3_c9_ev10,0.873,0.99974,High
r4_c1_ev1,0.050204,0.94015,High
r4_c1_ev2,0.156,0.9996,High
r4_c1_ev3,0.26099,0.99916,High
r4_c1_ev4,0.309,0.78907,Indeterminant
r4_c1_ev5,0.36099,0.99954,High
r4_c1_ev6,0.41339,0.93142,High
r4_c1_ev7,0.568,0.99965,High
r4_c1_ev8,0.67,0.99963,High
r4_c1_ev9,0.771,0.99964,High
r4_c1_ev10,0.876,0.99969,High
r4_c1_ev11,0.97927,0.9982,High
r4_c2_ev1,0.052015,0.99819,High
r4_c2_ev2,0.108,0.78898,Indeterminant
r4_c2_ev3,0.15301,0.99993,High
r4_c2_ev4,0.255,0.99966,High
r4_c2_ev5,0.36,0.99967,High
r4_c2_ev6,0.466,0.99968,High
r4_c2_ev7,0.56401,0.99997,High
